"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Spelaeornis_formosus",0.767653335673685,-5.77107360401313,0.130794176384995,-2.67667607117968,0.753470121692,-0.543303844933032,-0.605913458103055,-0.0296784679143177
"Pomatorhinus_ruficollis",-5.64206045836115,-3.8363710614263,0.862049525263513,0.833375429176551,-0.186677016967837,0.297809291385368,-0.78639934758894,-0.0209532805864151
"Illadopsis_cleaveri",-3.00058947529854,-3.58175056535017,-0.946395329208838,0.845996847735712,-0.531042188205261,0.722603707238106,-0.61857024773732,0.0284339481264141
"Stachyris_dennistouni",-5.19253504016149,-2.75477606549491,0.147375503753905,-0.520510993314088,-1.40725014039317,0.713534260416102,-0.603368278260062,-0.0637309084530857
"Zosterops_lateralis",0.584546548842566,-6.13776660132614,0.486592421986201,0.82342918192474,-0.402738572428012,0.136026902503857,-0.694344076734485,-0.0705002291223185
"Zosterops_hypoxanthus",-0.651061263301347,-4.24147067213123,0.653632556495325,0.670713319909606,-0.162701083462868,0.00853083388581519,-0.315394475437419,-0.0314453030260233
"Hypocryptadius_cinnamomeus",-1.68011373847704,-4.12143549816169,-0.65549678940694,1.04823617399157,-0.886374666115063,0.655660068360133,-0.403900018261134,-0.114798059401342
"Paradoxornis_webbianus",-0.17977021884232,-5.75648743031922,-1.80015992289702,-0.610226388459577,-1.18182165232525,0.3086386775143,-0.313675725310912,0.148944506847076
"Sylvia_atricapilla",0.869621762051849,-6.89789112899233,-0.871838160251258,1.90293453240825,-0.189363657549217,0.228788089334051,-0.0267083673710599,0.0233079957778644
"Sylvia_borin",1.32974823652265,-7.83951604104601,0.97889081881326,1.88511135208285,-0.0571612134661785,0.0624163211072212,-0.718844864572078,0.0480236580026475
"Cisticola_juncidis",-0.316884763108401,1.5989366403673,-0.292845062932602,1.31045922883229,-0.939449976541309,0.312138213903228,0.136739398552882,0.197477298382428
"Pycnonotus_jocosus",-2.60196799755633,-4.05764796604294,0.496065852315046,1.45878327483191,-0.741129711594807,0.48954880765909,-0.53043554951829,0.085566598427998
"Pycnonotus_atriceps",-0.687530814138159,-5.81431714929731,-0.110482757700431,-0.0933257218408331,-0.733528150632289,0.292638629286985,-0.596726379867268,-0.134632081409924
"Cettia_cetti",0.982553293106395,-4.77030682839689,-1.08690063239714,1.47204690572079,-2.38444034745315,0.265196322020398,-0.24473585936542,-0.149139618401772
"Cettia_vulcania",-1.54797748926624,-2.83557467068813,-1.47882776489431,0.844122400955275,-0.708563026013549,0.603709852933078,-0.686122561704113,0.022628907613906
"Phylloscopus_sibilatrix",2.57754522894199,-4.65558126205793,0.0704439189530806,0.0469673574243368,-1.48760201687789,-0.0437471372107366,0.134746742298498,0.15811257043235
"Phylloscopus_trochilus",1.1534578112864,-5.84508093789655,-0.689187009790255,1.33527665933935,-0.378280840998667,-0.0835348936203977,-0.133488149900921,0.0320365806837799
"Aegithalos_caudatus",0.984685635594242,-1.87928125499628,2.17196184731669,-1.54456600971188,-0.941618768500162,0.818622970814926,-1.56590564205772,0.15564121518753
"Hylia_prasina",-3.99513851916609,-1.13508856898257,0.298757830205657,-1.5318191201761,0.115994171262527,0.0997105959269707,-0.844002611410338,-0.00481590506826631
"Erythrocercus_mccallii",1.48017239291116,-2.38163240442153,0.739619860031472,-0.221695277064243,-2.69501662028371,0.510924263684356,-0.018028684057469,0.16051752022549
"Hirundo_rustica",1.29082781738565,-7.79994011297549,1.50134704533983,1.1348947199162,-0.781627079149663,0.280769728754724,-0.935786533958645,0.212124660573462
"Hippolais_icterina",1.19031324496555,-7.33385001445701,-1.14983062452503,0.934478406421102,-0.822485176848414,-0.01549571199375,-0.805555599725402,0.0689995592934727
"Acrocephalus_arundinaceus",-0.147592278726547,-8.57386630703272,0.209088125231238,0.842081645456477,-0.744894018913357,0.0177343330736781,-0.0841732688870339,-0.167198271697781
"Oxylabes_madagascariensis",-1.57816102402487,-6.63256760590884,-1.11760999029336,0.277463574316649,-1.22175678191079,0.242745779268974,-0.249754983907699,0.0597747028699112
"Donacobius_atricapilla",-4.45249334438888,-4.87633771037482,-0.897726253495877,-0.354559090322528,-3.72857356647797,-0.104484212475978,-0.556222536890412,0.15505484033579
"Sylvietta_virens",-0.03683516415167,-4.39405894403832,-0.0608941549496712,0.924139214081608,0.533747086123162,0.0181159864210096,-0.33989238675764,-0.0183265752886531
"Pseudopodoces_humilis",-1.01019668633265,-4.69409587806822,-1.15318570959616,0.261704381714593,-1.25792950476898,0.305722575813995,-0.305625882723975,0.191974478783439
"Parus_major",-0.349959076520166,-3.59203165285358,-0.213976976112043,-0.434063139726888,-0.897985460016028,0.678799307439352,-0.0848906839139402,0.1203852022688
"Parus_atricapillus",-2.37864193317023,-2.16527678833369,-0.148987367722041,-0.447764614657049,0.224873250910401,0.34508583586917,-0.646866747499764,0.0572779529205181
"Anthoscopus_minutus",0.923910749616102,-1.92727569574531,-1.12964886868689,-0.744755212236315,-2.33605699234064,0.506509537622047,-0.28992159234811,-0.131705124716754
"Rhabdornis_inornatus",2.19529601698477,-3.50407274865385,-0.873910930407672,0.209214268297607,-0.215680879131812,0.150713160911299,-0.211477311591764,-0.0406835688567847
"Sturnus_vulgaris",1.69844292125838,-5.85192973467931,-1.99643002332416,0.370744180733378,-1.95716164081438,0.570028822689363,-0.0172786283820343,-0.0836493216035169
"Toxostoma_redivivum",-1.7935878474888,-6.73571829529037,-1.13071649981031,1.30257066909765,-0.922566326074359,-0.117310004287963,-0.363683415779716,-0.15382210239863
"Buphagus_erythrorhynchus",-0.37704860427659,-4.62556797019492,1.7611676983013,-0.508667683306787,-1.51062514041029,0.645519859477554,-0.0365217430353741,0.137072268202932
"Turdus_merula",-1.73387466153661,-5.8398168448974,-0.925106655298366,1.73155722943189,-0.780990473427646,0.632480485465365,-0.276474698196184,0.128740953031905
"Catharus_ustulatus",-0.113518189979879,-5.22135166505378,-0.863309200362435,2.26380143602394,-1.32471700651065,0.863670960524704,-0.22904442646311,0.0227519592090589
"Catharus_fuscescens",-1.58180157940998,-3.52248714374591,-0.979192956906181,0.646992583396098,-0.68929772382388,0.413194407105902,-0.542520730515177,-0.0979742228510005
"Erythropygia_coryphaeus",0.489812823694298,-6.06656513631943,-1.55177856348486,1.36464841333587,-1.17290490917467,-0.0443306892182932,-0.385002665722502,0.00926864167300116
